"UTMX","UTMY"
712260.3366,7484157.897
663380.6059,7434030.125
858004.2016,7642649.48
858716.642,7648610.24
355352.2015,7564727.775
325374.1543,7554956.487
854425.0716,7642450.216
943471.7526,7536897.864
953957.7625,7542047.163
604513.9405,7502251.471
665857.835,7496539.198
544595.7764,7521582.461
807205.0678,7518140.58
704173.7484,7558232.833
822421.1712,7402207.955
876525.6842,7505404.101
861217.2918,7642734.094
357494.3688,7559598.85
852634.3617,7627886.882
800444.3862,7417882.709
581892.9169,7418647.909
850911.3678,7496440.173
678784.6707,7437973.11
826878.5007,7399337.446
684129.5159,7442039.281
779423.7348,7413252.004
519588.7035,7641317.901
686899.8489,7434218.56
616473.1231,7498478.463
578718.1978,7483951.047
530984.9891,7534832.375
828312.9133,7628429.719
635113.6919,7497793.829
587089.5417,7491654.977
632642.2795,7502033.97
589333.6906,7692012.253
935940.7428,7638350.01
695794.9033,7462226.826
530864.0307,7515494.609
524189.6674,7639098.174
847526.8561,7720411.747
877052.0511,7682787.898
474367.6212,7602261.482
784091.2509,7554122.15
508446.9546,7714249.816
698548.1212,7673222.129
549003.8365,7477522.326
769484.2411,7686933.534
379181.6249,7572456.513
578700.9748,7476666.639
705429.7272,7506492.73
