"","Estimate","Std. Error","t value"
"Intercept",39.3419083999818,0.0858718355275127,458.146820296824
"DEM",0.0639745850576043,0.00498029182776596,12.8455494718071
"Intercept",39.3419083999797,0.0858736622624544,458.137074435461
"Distance",0.0636810955985861,0.00495758431650755,12.8451865935076
"Intercept",39.3419083999952,0.0830627017435796,473.641087686341
"FF",0.123858060330594,0.00947011002638163,13.0788406877589
"Intercept",39.3419083999854,0.0872456777168064,450.932463699652
"Silt",0.149275903697933,0.0106591229103137,14.004520348808
"Intercept",39.3419083999698,0.0860585079502469,457.153038520195
"SOMO31",0.130406181787141,0.00962794589224426,13.5445486759734
"Intercept",39.3419083999883,0.0866861292130515,453.843178339366
"SPIN",0.0691599591135325,0.00535922859442229,12.9048346968278
"Intercept",39.3419083999634,0.0954527867785447,412.160919840283
"VRM",0.332316538406057,0.020599661450198,16.1321359192951
"Intercept",39.3419083999929,0.0842669445808854,466.872373214265
"WAT",0.11741750113497,0.00859553339270041,13.6602925927418
"Intercept",39.3419084000144,0.085459502068153,460.35733239634
"WII",0.0681913108284172,0.00525720957627334,12.9710086385325
